county,office,district,party,candidate,votes,state
Lyon,Governor,DEM,DEM,"Goodman, Robert ""Bob""",1643,NV
Lyon,Governor,NP,NP,None of these Candidates,340,NV
Lyon,Governor,REP,REP,"Sandoval, Brian",11659,NV
Lyon,Governor,IAP,IAP,"VanDerBeek, David Lory",539,NV
Mineral,Governor,DEM,DEM,"Goodman, Robert ""Bob""",210,NV
Mineral,Governor,NP,NP,None of these Candidates,48,NV
Mineral,Governor,REP,REP,"Sandoval, Brian",1102,NV
Mineral,Governor,IAP,IAP,"VanDerBeek, David Lory",46,NV
Nye,Governor,DEM,DEM,"Goodman, Robert ""Bob""",2005,NV
Nye,Governor,NP,NP,None of these Candidates,316,NV
Nye,Governor,REP,REP,"Sandoval, Brian",9095,NV
Nye,Governor,IAP,IAP,"VanDerBeek, David Lory",751,NV
Pershing,Governor,DEM,DEM,"Goodman, Robert ""Bob""",174,NV
Pershing,Governor,NP,NP,None of these Candidates,53,NV
Pershing,Governor,REP,REP,"Sandoval, Brian",1228,NV
Pershing,Governor,IAP,IAP,"VanDerBeek, David Lory",101,NV
Storey,Governor,DEM,DEM,"Goodman, Robert ""Bob""",265,NV
Storey,Governor,NP,NP,None of these Candidates,71,NV
Storey,Governor,REP,REP,"Sandoval, Brian",1462,NV
Storey,Governor,IAP,IAP,"VanDerBeek, David Lory",98,NV
Washoe,Governor,DEM,DEM,"Goodman, Robert ""Bob""",21598,NV
Washoe,Governor,NP,NP,None of these Candidates,3373,NV
Washoe,Governor,REP,REP,"Sandoval, Brian",87739,NV
Washoe,Governor,IAP,IAP,"VanDerBeek, David Lory",2855,NV
White Pine,Governor,DEM,DEM,"Goodman, Robert ""Bob""",498,NV
White Pine,Governor,NP,NP,None of these Candidates,135,NV
White Pine,Governor,REP,REP,"Sandoval, Brian",1973,NV
White Pine,Governor,IAP,IAP,"VanDerBeek, David Lory",181,NV
Adams,Governor,0,DEM,WRITE-IN,0,PA
Adams,Governor,0,DEM,THOMAS W WOLF,11130,PA
Adams,Governor,0,REP,WRITE-IN,0,PA
Adams,Governor,0,REP,THOMAS W. CORBETT JR,16790,PA
Allegheny,Governor,0,DEM,WRITE-IN,0,PA
Allegheny,Governor,0,DEM,THOMAS W WOLF,207017,PA
Allegheny,Governor,0,REP,WRITE-IN,0,PA
Allegheny,Governor,0,REP,THOMAS W. CORBETT JR,148057,PA
Armstrong,Governor,0,DEM,WRITE-IN,0,PA
Armstrong,Governor,0,DEM,THOMAS W WOLF,7195,PA
Armstrong,Governor,0,REP,WRITE-IN,0,PA
Armstrong,Governor,0,REP,THOMAS W. CORBETT JR,11520,PA
Beaver,Governor,0,DEM,WRITE-IN,0,PA
Beaver,Governor,0,DEM,THOMAS W WOLF,24456,PA
Beaver,Governor,0,REP,WRITE-IN,0,PA
Beaver,Governor,0,REP,THOMAS W. CORBETT JR,23302,PA
Bedford,Governor,0,DEM,WRITE-IN,0,PA
Bedford,Governor,0,DEM,THOMAS W WOLF,4786,PA
Bedford,Governor,0,REP,WRITE-IN,0,PA
Bedford,Governor,0,REP,THOMAS W. CORBETT JR,9050,PA
Berks,Governor,0,DEM,WRITE-IN,0,PA
Berks,Governor,0,DEM,THOMAS W WOLF,51840,PA
Berks,Governor,0,REP,WRITE-IN,0,PA
Berks,Governor,0,REP,THOMAS W. CORBETT JR,50005,PA
Blair,Governor,0,DEM,WRITE-IN,0,PA
Blair,Governor,0,DEM,THOMAS W WOLF,12800,PA
Blair,Governor,0,REP,WRITE-IN,0,PA
Blair,Governor,0,REP,THOMAS W. CORBETT JR,17717,PA
Bradford,Governor,0,DEM,WRITE-IN,0,PA
Bradford,Governor,0,DEM,THOMAS W WOLF,5082,PA
Bradford,Governor,0,REP,WRITE-IN,0,PA
Bradford,Governor,0,REP,THOMAS W. CORBETT JR,9905,PA
Bucks,Governor,0,DEM,WRITE-IN,0,PA
Bucks,Governor,0,DEM,THOMAS W WOLF,103812,PA
Bucks,Governor,0,REP,WRITE-IN,0,PA
Bucks,Governor,0,REP,THOMAS W. CORBETT JR,94584,PA
Butler,Governor,0,DEM,WRITE-IN,0,PA
Butler,Governor,0,DEM,THOMAS W WOLF,20171,PA
Butler,Governor,0,REP,WRITE-IN,0,PA
Butler,Governor,0,REP,THOMAS W. CORBETT JR,35818,PA
Cambria,Governor,0,DEM,WRITE-IN,0,PA
Cambria,Governor,0,DEM,THOMAS W WOLF,22021,PA
Cambria,Governor,0,REP,WRITE-IN,0,PA
Cambria,Governor,0,REP,THOMAS W. CORBETT JR,18325,PA
Cameron,Governor,0,DEM,WRITE-IN,0,PA
Cameron,Governor,0,DEM,THOMAS W WOLF,609,PA
Cameron,Governor,0,REP,WRITE-IN,0,PA
Cameron,Governor,0,REP,THOMAS W. CORBETT JR,779,PA
Carbon,Governor,0,DEM,WRITE-IN,0,PA
Carbon,Governor,0,DEM,THOMAS W WOLF,9163,PA
Carbon,Governor,0,REP,WRITE-IN,0,PA
Carbon,Governor,0,REP,THOMAS W. CORBETT JR,7864,PA
Centre,Governor,0,DEM,WRITE-IN,0,PA
Centre,Governor,0,DEM,THOMAS W WOLF,22393,PA
Centre,Governor,0,REP,WRITE-IN,0,PA
Centre,Governor,0,REP,THOMAS W. CORBETT JR,16489,PA
Chester,Governor,0,DEM,WRITE-IN,0,PA
Chester,Governor,0,DEM,THOMAS W WOLF,80701,PA
Chester,Governor,0,REP,WRITE-IN,0,PA
Chester,Governor,0,REP,THOMAS W. CORBETT JR,75097,PA
Clarion,Governor,0,DEM,WRITE-IN,0,PA
Clarion,Governor,0,DEM,THOMAS W WOLF,4371,PA
Clarion,Governor,0,REP,WRITE-IN,0,PA
Clarion,Governor,0,REP,THOMAS W. CORBETT JR,6418,PA
Clearfield,Governor,0,DEM,WRITE-IN,0,PA
Clearfield,Governor,0,DEM,THOMAS W WOLF,9682,PA
Clearfield,Governor,0,REP,WRITE-IN,0,PA
Clearfield,Governor,0,REP,THOMAS W. CORBETT JR,11161,PA
Clinton,Governor,0,DEM,WRITE-IN,0,PA
Clinton,Governor,0,DEM,THOMAS W WOLF,4583,PA
Clinton,Governor,0,REP,WRITE-IN,0,PA
Clinton,Governor,0,REP,THOMAS W. CORBETT JR,3929,PA
Columbia,Governor,0,DEM,WRITE-IN,0,PA
Columbia,Governor,0,DEM,THOMAS W WOLF,6572,PA
Columbia,Governor,0,REP,WRITE-IN,0,PA
Columbia,Governor,0,REP,THOMAS W. CORBETT JR,8585,PA
Crawford,Governor,0,DEM,WRITE-IN,0,PA
Crawford,Governor,0,DEM,THOMAS W WOLF,9994,PA
Crawford,Governor,0,REP,WRITE-IN,0,PA
Crawford,Governor,0,REP,THOMAS W. CORBETT JR,13219,PA
Cumberland,Governor,0,DEM,WRITE-IN,0,PA
Cumberland,Governor,0,DEM,THOMAS W WOLF,31311,PA
Cumberland,Governor,0,REP,WRITE-IN,0,PA
Cumberland,Governor,0,REP,THOMAS W. CORBETT JR,43625,PA
Dauphin,Governor,0,DEM,WRITE-IN,0,PA
Dauphin,Governor,0,DEM,THOMAS W WOLF,40376,PA
Dauphin,Governor,0,REP,WRITE-IN,0,PA
Dauphin,Governor,0,REP,THOMAS W. CORBETT JR,39111,PA
Delaware,Governor,0,DEM,WRITE-IN,0,PA
Delaware,Governor,0,DEM,THOMAS W WOLF,110934,PA
Delaware,Governor,0,REP,WRITE-IN,0,PA
Delaware,Governor,0,REP,THOMAS W. CORBETT JR,71180,PA
Elk,Governor,0,DEM,WRITE-IN,0,PA
Elk,Governor,0,DEM,THOMAS W WOLF,4273,PA
Elk,Governor,0,REP,WRITE-IN,0,PA
Elk,Governor,0,REP,THOMAS W. CORBETT JR,4536,PA
Erie,Governor,0,DEM,WRITE-IN,0,PA
Erie,Governor,0,DEM,THOMAS W WOLF,42115,PA
Erie,Governor,0,REP,WRITE-IN,0,PA
Erie,Governor,0,REP,THOMAS W. CORBETT JR,30389,PA
Fayette,Governor,0,DEM,WRITE-IN,0,PA
Fayette,Governor,0,DEM,THOMAS W WOLF,18029,PA
Fayette,Governor,0,REP,WRITE-IN,0,PA
Fayette,Governor,0,REP,THOMAS W. CORBETT JR,13086,PA
Forest,Governor,0,DEM,WRITE-IN,0,PA
Forest,Governor,0,DEM,THOMAS W WOLF,815,PA
Forest,Governor,0,REP,WRITE-IN,0,PA
Forest,Governor,0,REP,THOMAS W. CORBETT JR,820,PA
Franklin,Governor,0,DEM,WRITE-IN,0,PA
Franklin,Governor,0,DEM,THOMAS W WOLF,12461,PA
Franklin,Governor,0,REP,WRITE-IN,0,PA
Franklin,Governor,0,REP,THOMAS W. CORBETT JR,25913,PA
Fulton,Governor,0,DEM,WRITE-IN,0,PA
Fulton,Governor,0,DEM,THOMAS W WOLF,1111,PA
Fulton,Governor,0,REP,WRITE-IN,0,PA
Fulton,Governor,0,REP,THOMAS W. CORBETT JR,2650,PA
Greene,Governor,0,DEM,WRITE-IN,0,PA
Greene,Governor,0,DEM,THOMAS W WOLF,5230,PA
Greene,Governor,0,REP,WRITE-IN,0,PA
Greene,Governor,0,REP,THOMAS W. CORBETT JR,4080,PA
Huntingdon,Governor,0,DEM,WRITE-IN,0,PA
Huntingdon,Governor,0,DEM,THOMAS W WOLF,5500,PA
Huntingdon,Governor,0,REP,WRITE-IN,0,PA
Huntingdon,Governor,0,REP,THOMAS W. CORBETT JR,7247,PA
Indiana,Governor,0,DEM,WRITE-IN,0,PA
Indiana,Governor,0,DEM,THOMAS W WOLF,10223,PA
Indiana,Governor,0,REP,WRITE-IN,0,PA
Indiana,Governor,0,REP,THOMAS W. CORBETT JR,12199,PA
Jefferson,Governor,0,DEM,WRITE-IN,0,PA
Jefferson,Governor,0,DEM,THOMAS W WOLF,4375,PA
Jefferson,Governor,0,REP,WRITE-IN,0,PA
Jefferson,Governor,0,REP,THOMAS W. CORBETT JR,7458,PA
Juniata,Governor,0,DEM,WRITE-IN,0,PA
Juniata,Governor,0,DEM,THOMAS W WOLF,2172,PA
Juniata,Governor,0,REP,WRITE-IN,0,PA
Juniata,Governor,0,REP,THOMAS W. CORBETT JR,4431,PA
Lackawanna,Governor,0,DEM,WRITE-IN,0,PA
Lackawanna,Governor,0,DEM,THOMAS W WOLF,41680,PA
Lackawanna,Governor,0,REP,WRITE-IN,0,PA
Lackawanna,Governor,0,REP,THOMAS W. CORBETT JR,18081,PA
Lancaster,Governor,0,DEM,WRITE-IN,0,PA
Lancaster,Governor,0,DEM,THOMAS W WOLF,57594,PA
Lancaster,Governor,0,REP,WRITE-IN,0,PA
Lancaster,Governor,0,REP,THOMAS W. CORBETT JR,83179,PA
Lawrence,Governor,0,DEM,WRITE-IN,0,PA
Lawrence,Governor,0,DEM,THOMAS W WOLF,11996,PA
Lawrence,Governor,0,REP,WRITE-IN,0,PA
Lawrence,Governor,0,REP,THOMAS W. CORBETT JR,11166,PA
Lebanon,Governor,0,DEM,WRITE-IN,0,PA
Lebanon,Governor,0,DEM,THOMAS W WOLF,13629,PA
Lebanon,Governor,0,REP,WRITE-IN,0,PA
Lebanon,Governor,0,REP,THOMAS W. CORBETT JR,22738,PA
Lehigh,Governor,0,DEM,WRITE-IN,0,PA
Lehigh,Governor,0,DEM,THOMAS W WOLF,44658,PA
Lehigh,Governor,0,REP,WRITE-IN,0,PA
Lehigh,Governor,0,REP,THOMAS W. CORBETT JR,36894,PA
Luzerne,Governor,0,DEM,WRITE-IN,0,PA
Luzerne,Governor,0,DEM,THOMAS W WOLF,41609,PA
Luzerne,Governor,0,REP,WRITE-IN,0,PA
Luzerne,Governor,0,REP,THOMAS W. CORBETT JR,32605,PA
Lycoming,Governor,0,DEM,WRITE-IN,0,PA
Lycoming,Governor,0,DEM,THOMAS W WOLF,10997,PA
Lycoming,Governor,0,REP,WRITE-IN,0,PA
Lycoming,Governor,0,REP,THOMAS W. CORBETT JR,20106,PA
McKean,Governor,0,DEM,WRITE-IN,0,PA
McKean,Governor,0,DEM,THOMAS W WOLF,2945,PA
McKean,Governor,0,REP,WRITE-IN,0,PA
McKean,Governor,0,REP,THOMAS W. CORBETT JR,5311,PA
Mercer,Governor,0,DEM,WRITE-IN,0,PA
Mercer,Governor,0,DEM,THOMAS W WOLF,14466,PA
Mercer,Governor,0,REP,WRITE-IN,0,PA
Mercer,Governor,0,REP,THOMAS W. CORBETT JR,15397,PA
Mifflin,Governor,0,DEM,WRITE-IN,0,PA
Mifflin,Governor,0,DEM,THOMAS W WOLF,3492,PA
Mifflin,Governor,0,REP,WRITE-IN,0,PA
Mifflin,Governor,0,REP,THOMAS W. CORBETT JR,7318,PA
Monroe,Governor,0,DEM,WRITE-IN,0,PA
Monroe,Governor,0,DEM,THOMAS W WOLF,19864,PA
Monroe,Governor,0,REP,WRITE-IN,0,PA
Monroe,Governor,0,REP,THOMAS W. CORBETT JR,15046,PA
Montgomery,Governor,0,DEM,WRITE-IN,0,PA
Montgomery,Governor,0,DEM,THOMAS W WOLF,156200,PA
Montgomery,Governor,0,REP,WRITE-IN,0,PA
Montgomery,Governor,0,REP,THOMAS W. CORBETT JR,104726,PA
Montour,Governor,0,DEM,WRITE-IN,0,PA
Montour,Governor,0,DEM,THOMAS W WOLF,2123,PA
Montour,Governor,0,REP,WRITE-IN,0,PA
Montour,Governor,0,REP,THOMAS W. CORBETT JR,2900,PA
Northampton,Governor,0,DEM,WRITE-IN,0,PA
Northampton,Governor,0,DEM,THOMAS W WOLF,40753,PA
Northampton,Governor,0,REP,WRITE-IN,0,PA
Northampton,Governor,0,REP,THOMAS W. CORBETT JR,33354,PA
Northumberland,Governor,0,DEM,WRITE-IN,0,PA
Northumberland,Governor,0,DEM,THOMAS W WOLF,10852,PA
Northumberland,Governor,0,REP,WRITE-IN,0,PA
Northumberland,Governor,0,REP,THOMAS W. CORBETT JR,10666,PA
Perry,Governor,0,DEM,WRITE-IN,0,PA
Perry,Governor,0,DEM,THOMAS W WOLF,4344,PA
Perry,Governor,0,REP,WRITE-IN,0,PA
Perry,Governor,0,REP,THOMAS W. CORBETT JR,8679,PA
Philadelphia,Governor,0,DEM,WRITE-IN,0,PA
Philadelphia,Governor,0,DEM,THOMAS W WOLF,333539,PA
Philadelphia,Governor,0,REP,WRITE-IN,0,PA
Philadelphia,Governor,0,REP,THOMAS W. CORBETT JR,45268,PA
Pike,Governor,0,DEM,WRITE-IN,0,PA
Pike,Governor,0,DEM,THOMAS W WOLF,5365,PA
Pike,Governor,0,REP,WRITE-IN,0,PA
Pike,Governor,0,REP,THOMAS W. CORBETT JR,7553,PA
Potter,Governor,0,DEM,WRITE-IN,0,PA
Potter,Governor,0,DEM,THOMAS W WOLF,1524,PA
Potter,Governor,0,REP,WRITE-IN,0,PA
Potter,Governor,0,REP,THOMAS W. CORBETT JR,3140,PA
Schuylkill,Governor,0,DEM,WRITE-IN,0,PA
Schuylkill,Governor,0,DEM,THOMAS W WOLF,20544,PA
Schuylkill,Governor,0,REP,WRITE-IN,0,PA
Schuylkill,Governor,0,REP,THOMAS W. CORBETT JR,17168,PA
Snyder,Governor,0,DEM,WRITE-IN,0,PA
Snyder,Governor,0,DEM,THOMAS W WOLF,3982,PA
Snyder,Governor,0,REP,WRITE-IN,0,PA
Snyder,Governor,0,REP,THOMAS W. CORBETT JR,5772,PA
Somerset,Governor,0,DEM,WRITE-IN,0,PA
Somerset,Governor,0,DEM,THOMAS W WOLF,9599,PA
Somerset,Governor,0,REP,WRITE-IN,0,PA
Somerset,Governor,0,REP,THOMAS W. CORBETT JR,13150,PA
Sullivan,Governor,0,DEM,WRITE-IN,0,PA
Sullivan,Governor,0,DEM,THOMAS W WOLF,778,PA
Sullivan,Governor,0,REP,WRITE-IN,0,PA
Sullivan,Governor,0,REP,THOMAS W. CORBETT JR,1325,PA
Susquehanna,Governor,0,DEM,WRITE-IN,0,PA
Susquehanna,Governor,0,DEM,THOMAS W WOLF,4300,PA
Susquehanna,Governor,0,REP,WRITE-IN,0,PA
Susquehanna,Governor,0,REP,THOMAS W. CORBETT JR,7805,PA
Tioga,Governor,0,DEM,WRITE-IN,0,PA
Tioga,Governor,0,DEM,THOMAS W WOLF,3440,PA
Tioga,Governor,0,REP,WRITE-IN,0,PA
Tioga,Governor,0,REP,THOMAS W. CORBETT JR,7668,PA
Union,Governor,0,DEM,WRITE-IN,0,PA
Union,Governor,0,DEM,THOMAS W WOLF,4784,PA
Union,Governor,0,REP,WRITE-IN,0,PA
Union,Governor,0,REP,THOMAS W. CORBETT JR,5362,PA
Venango,Governor,0,DEM,WRITE-IN,0,PA
Venango,Governor,0,DEM,THOMAS W WOLF,6333,PA
Venango,Governor,0,REP,WRITE-IN,0,PA
Venango,Governor,0,REP,THOMAS W. CORBETT JR,7771,PA
Warren,Governor,0,DEM,WRITE-IN,0,PA
Warren,Governor,0,DEM,THOMAS W WOLF,4965,PA
Warren,Governor,0,REP,WRITE-IN,0,PA
Warren,Governor,0,REP,THOMAS W. CORBETT JR,6194,PA
Washington,Governor,0,DEM,WRITE-IN,0,PA
Washington,Governor,0,DEM,THOMAS W WOLF,28305,PA
Washington,Governor,0,REP,WRITE-IN,0,PA
Washington,Governor,0,REP,THOMAS W. CORBETT JR,30564,PA
Wayne,Governor,0,DEM,WRITE-IN,0,PA
Wayne,Governor,0,DEM,THOMAS W WOLF,6087,PA
Wayne,Governor,0,REP,WRITE-IN,0,PA
Wayne,Governor,0,REP,THOMAS W. CORBETT JR,7621,PA
Westmoreland,Governor,0,DEM,WRITE-IN,0,PA
Westmoreland,Governor,0,DEM,THOMAS W WOLF,45501,PA
Westmoreland,Governor,0,REP,WRITE-IN,0,PA
Westmoreland,Governor,0,REP,THOMAS W. CORBETT JR,60716,PA
Wyoming,Governor,0,DEM,WRITE-IN,0,PA
Wyoming,Governor,0,DEM,THOMAS W WOLF,3491,PA
Wyoming,Governor,0,REP,WRITE-IN,0,PA
Wyoming,Governor,0,REP,THOMAS W. CORBETT JR,4381,PA
York,Governor,0,DEM,WRITE-IN,0,PA
York,Governor,0,DEM,THOMAS W WOLF,52386,PA
York,Governor,0,REP,WRITE-IN,0,PA
York,Governor,0,REP,THOMAS W. CORBETT JR,69604,PA
Abington,Governor,,,All Others,4,MA
Abington,Governor,,,Blank Votes,47,MA
Abington,Governor,,,Total Votes Cast,5913,MA
Abington,Governor,,Democratic,Coakley and Kerrigan,2105,MA
Abington,Governor,,Republican,Baker and Polito,3459,MA
Abington,Governor,,Unenrolled,Lively and Saunders,50,MA
Abington,Governor,,Unenrolled,Mccormick and Post,45,MA
Abington,Governor,,United Independent,Falchuk and Jennings,203,MA
Acton,Governor,,,All Others,15,MA
Acton,Governor,,,Blank Votes,71,MA
Acton,Governor,,,Total Votes Cast,8736,MA
Acton,Governor,,Democratic,Coakley and Kerrigan,4534,MA
Acton,Governor,,Republican,Baker and Polito,3776,MA
Acton,Governor,,Unenrolled,Lively and Saunders,39,MA
Acton,Governor,,Unenrolled,Mccormick and Post,59,MA
Acton,Governor,,United Independent,Falchuk and Jennings,242,MA
Acushnet,Governor,,,All Others,2,MA
Acushnet,Governor,,,Blank Votes,53,MA
Acushnet,Governor,,,Total Votes Cast,3145,MA
Acushnet,Governor,,Democratic,Coakley and Kerrigan,1383,MA
Acushnet,Governor,,Republican,Baker and Polito,1500,MA
Acushnet,Governor,,Unenrolled,Lively and Saunders,90,MA
Acushnet,Governor,,Unenrolled,Mccormick and Post,46,MA
Acushnet,Governor,,United Independent,Falchuk and Jennings,71,MA
Adams,Governor,,,All Others,0,MA
Adams,Governor,,,Blank Votes,23,MA
Adams,Governor,,,Total Votes Cast,2238,MA
Adams,Governor,,Democratic,Coakley and Kerrigan,1507,MA
Adams,Governor,,Republican,Baker and Polito,600,MA
Adams,Governor,,Unenrolled,Lively and Saunders,27,MA
Adams,Governor,,Unenrolled,Mccormick and Post,33,MA
Adams,Governor,,United Independent,Falchuk and Jennings,48,MA
Agawam,Governor,,,All Others,10,MA
Agawam,Governor,,,Blank Votes,202,MA
Agawam,Governor,,,Total Votes Cast,10304,MA
Agawam,Governor,,Democratic,Coakley and Kerrigan,3148,MA
Agawam,Governor,,Republican,Baker and Polito,5778,MA
Agawam,Governor,,Unenrolled,Lively and Saunders,206,MA
Agawam,Governor,,Unenrolled,Mccormick and Post,123,MA
Agawam,Governor,,United Independent,Falchuk and Jennings,837,MA
Alford,Governor,,,All Others,0,MA
Alford,Governor,,,Blank Votes,3,MA
Alford,Governor,,,Total Votes Cast,209,MA
Alford,Governor,,Democratic,Coakley and Kerrigan,148,MA
Alford,Governor,,Republican,Baker and Polito,55,MA
Alford,Governor,,Unenrolled,Lively and Saunders,1,MA
Alford,Governor,,Unenrolled,Mccormick and Post,1,MA
Alford,Governor,,United Independent,Falchuk and Jennings,1,MA
Amesbury,Governor,,,All Others,9,MA
Amesbury,Governor,,,Blank Votes,71,MA
Amesbury,Governor,,,Total Votes Cast,5945,MA
Amesbury,Governor,,Democratic,Coakley and Kerrigan,2530,MA
Amesbury,Governor,,Republican,Baker and Polito,3015,MA
Amesbury,Governor,,Unenrolled,Lively and Saunders,42,MA
Amesbury,Governor,,Unenrolled,Mccormick and Post,52,MA
Amesbury,Governor,,United Independent,Falchuk and Jennings,226,MA
Amherst,Governor,,,All Others,19,MA
Amherst,Governor,,,Blank Votes,147,MA
Amherst,Governor,,,Total Votes Cast,7934,MA
Amherst,Governor,,Democratic,Coakley and Kerrigan,6092,MA
Amherst,Governor,,Republican,Baker and Polito,1269,MA
Amherst,Governor,,Unenrolled,Lively and Saunders,63,MA
Amherst,Governor,,Unenrolled,Mccormick and Post,42,MA
Amherst,Governor,,United Independent,Falchuk and Jennings,302,MA
Andover,Governor,,,All Others,2,MA
Andover,Governor,,,Blank Votes,90,MA
Andover,Governor,,,Total Votes Cast,13211,MA
Andover,Governor,,Democratic,Coakley and Kerrigan,4869,MA
Andover,Governor,,Republican,Baker and Polito,7862,MA
Andover,Governor,,Unenrolled,Lively and Saunders,61,MA
Andover,Governor,,Unenrolled,Mccormick and Post,57,MA
Andover,Governor,,United Independent,Falchuk and Jennings,270,MA
Aquinnah,Governor,,,All Others,0,MA
Aquinnah,Governor,,,Blank Votes,1,MA
Aquinnah,Governor,,,Total Votes Cast,200,MA
Aquinnah,Governor,,Democratic,Coakley and Kerrigan,147,MA
Aquinnah,Governor,,Republican,Baker and Polito,40,MA
Aquinnah,Governor,,Unenrolled,Lively and Saunders,3,MA
Aquinnah,Governor,,Unenrolled,Mccormick and Post,3,MA
Aquinnah,Governor,,United Independent,Falchuk and Jennings,6,MA
Arlington,Governor,,,All Others,13,MA
Arlington,Governor,,,Blank Votes,221,MA
Arlington,Governor,,,Total Votes Cast,19741,MA
Arlington,Governor,,Democratic,Coakley and Kerrigan,12435,MA
Arlington,Governor,,Republican,Baker and Polito,6243,MA
Arlington,Governor,,Unenrolled,Lively and Saunders,104,MA
Arlington,Governor,,Unenrolled,Mccormick and Post,103,MA
Arlington,Governor,,United Independent,Falchuk and Jennings,622,MA
Ashburnham,Governor,,,All Others,1,MA
Ashburnham,Governor,,,Blank Votes,18,MA
Ashburnham,Governor,,,Total Votes Cast,2194,MA
Ashburnham,Governor,,Democratic,Coakley and Kerrigan,831,MA
Ashburnham,Governor,,Republican,Baker and Polito,1205,MA
Ashburnham,Governor,,Unenrolled,Lively and Saunders,31,MA
Ashburnham,Governor,,Unenrolled,Mccormick and Post,21,MA
Ashburnham,Governor,,United Independent,Falchuk and Jennings,87,MA
Ashby,Governor,,,All Others,0,MA
Ashby,Governor,,,Blank Votes,10,MA
Ashby,Governor,,,Total Votes Cast,1304,MA
Ashby,Governor,,Democratic,Coakley and Kerrigan,443,MA
Ashby,Governor,,Republican,Baker and Polito,754,MA
Ashby,Governor,,Unenrolled,Lively and Saunders,19,MA
Ashby,Governor,,Unenrolled,Mccormick and Post,10,MA
Ashby,Governor,,United Independent,Falchuk and Jennings,68,MA
Ashfield,Governor,,,All Others,1,MA
Ashfield,Governor,,,Blank Votes,24,MA
Ashfield,Governor,,,Total Votes Cast,867,MA
Ashfield,Governor,,Democratic,Coakley and Kerrigan,587,MA
Ashfield,Governor,,Republican,Baker and Polito,200,MA
Ashfield,Governor,,Unenrolled,Lively and Saunders,2,MA
Ashfield,Governor,,Unenrolled,Mccormick and Post,6,MA
Ashfield,Governor,,United Independent,Falchuk and Jennings,47,MA
Ashland,Governor,,,All Others,3,MA
Ashland,Governor,,,Blank Votes,53,MA
Ashland,Governor,,,Total Votes Cast,5736,MA
Ashland,Governor,,Democratic,Coakley and Kerrigan,2523,MA
Ashland,Governor,,Republican,Baker and Polito,2954,MA
Ashland,Governor,,Unenrolled,Lively and Saunders,30,MA
Ashland,Governor,,Unenrolled,Mccormick and Post,21,MA
Ashland,Governor,,United Independent,Falchuk and Jennings,152,MA
Athol,Governor,,,All Others,0,MA
Athol,Governor,,,Blank Votes,63,MA
Athol,Governor,,,Total Votes Cast,3373,MA
Athol,Governor,,Democratic,Coakley and Kerrigan,1166,MA
Athol,Governor,,Republican,Baker and Polito,1884,MA
Athol,Governor,,Unenrolled,Lively and Saunders,70,MA
Athol,Governor,,Unenrolled,Mccormick and Post,29,MA
Athol,Governor,,United Independent,Falchuk and Jennings,161,MA
Attleboro,Governor,,,All Others,4,MA
Attleboro,Governor,,,Blank Votes,121,MA
Attleboro,Governor,,,Total Votes Cast,12295,MA
Attleboro,Governor,,Democratic,Coakley and Kerrigan,4953,MA
Attleboro,Governor,,Republican,Baker and Polito,6652,MA
Attleboro,Governor,,Unenrolled,Lively and Saunders,153,MA
Attleboro,Governor,,Unenrolled,Mccormick and Post,123,MA
Attleboro,Governor,,United Independent,Falchuk and Jennings,289,MA
Auburn,Governor,,,All Others,3,MA
Auburn,Governor,,,Blank Votes,63,MA
Auburn,Governor,,,Total Votes Cast,6344,MA
Auburn,Governor,,Democratic,Coakley and Kerrigan,2250,MA
Auburn,Governor,,Republican,Baker and Polito,3743,MA
Auburn,Governor,,Unenrolled,Lively and Saunders,56,MA
Auburn,Governor,,Unenrolled,Mccormick and Post,55,MA
Auburn,Governor,,United Independent,Falchuk and Jennings,174,MA
Avon,Governor,,,All Others,0,MA
Avon,Governor,,,Blank Votes,10,MA
Avon,Governor,,,Total Votes Cast,1700,MA
Avon,Governor,,Democratic,Coakley and Kerrigan,712,MA
Avon,Governor,,Republican,Baker and Polito,909,MA
Avon,Governor,,Unenrolled,Lively and Saunders,11,MA
Avon,Governor,,Unenrolled,Mccormick and Post,19,MA
Avon,Governor,,United Independent,Falchuk and Jennings,39,MA
Ayer,Governor,,,All Others,1,MA
Ayer,Governor,,,Blank Votes,25,MA
Ayer,Governor,,,Total Votes Cast,2490,MA
Ayer,Governor,,Democratic,Coakley and Kerrigan,970,MA
Ayer,Governor,,Republican,Baker and Polito,1333,MA
Ayer,Governor,,Unenrolled,Lively and Saunders,32,MA
Ayer,Governor,,Unenrolled,Mccormick and Post,23,MA
Ayer,Governor,,United Independent,Falchuk and Jennings,106,MA
Barnstable,Governor,,,All Others,8,MA
Barnstable,Governor,,,Blank Votes,123,MA
Barnstable,Governor,,,Total Votes Cast,18772,MA
Barnstable,Governor,,Democratic,Coakley and Kerrigan,7222,MA
Barnstable,Governor,,Republican,Baker and Polito,10670,MA
Barnstable,Governor,,Unenrolled,Lively and Saunders,125,MA
Barnstable,Governor,,Unenrolled,Mccormick and Post,146,MA
Barnstable,Governor,,United Independent,Falchuk and Jennings,478,MA
Barre,Governor,,,All Others,5,MA
Barre,Governor,,,Blank Votes,30,MA
Barre,Governor,,,Total Votes Cast,1957,MA
Barre,Governor,,Democratic,Coakley and Kerrigan,658,MA
Barre,Governor,,Republican,Baker and Polito,1155,MA
Barre,Governor,,Unenrolled,Lively and Saunders,17,MA
